Year,Week Reported,County,State,Positive Cases
2011,34,Los Angeles,California,3
2011,35,Los Angeles,California,2
2011,36,Los Angeles,California,2
2011,37,Los Angeles,California,5
2011,38,Los Angeles,California,8
2011,39,Los Angeles,California,12
2011,40,Los Angeles,California,8
2011,41,Los Angeles,California,3
2011,42,Los Angeles,California,3
2011,43,Los Angeles,California,2
2011,44,Los Angeles,California,2
2011,46,Los Angeles,California,3
2011,48,Los Angeles,California,2
2011,32,Madera,California,1
2011,45,Madera,California,1
2011,39,Merced,California,1
2011,34,Orange,California,1
2011,37,Orange,California,2
2011,39,Orange,California,1
2011,40,Orange,California,1
2011,41,Orange,California,1
2011,42,Orange,California,2
2011,44,Orange,California,2
2011,38,Placer,California,1
2011,38,Riverside,California,3
2011,42,Riverside,California,1
2011,43,Riverside,California,1
2011,44,Riverside,California,1
2011,47,Riverside,California,1
2011,40,Sacramento,California,1
2011,43,Sacramento,California,1
2011,44,Sacramento,California,2
2011,37,San Bernardino,California,2
2011,41,San Bernardino,California,1
2011,45,San Bernardino,California,1
2011,34,San Joaquin,California,1
2011,37,San Joaquin,California,1
2011,40,San Joaquin,California,1
2011,42,San Joaquin,California,1
2011,44,San Joaquin,California,1
2011,29,Santa Barbara,California,1
2011,43,Santa Clara,California,1
2011,50,Santa Cruz,California,1
2011,31,Stanislaus,California,2
2011,34,Stanislaus,California,1
2011,35,Stanislaus,California,4
2011,39,Stanislaus,California,1
2011,40,Stanislaus,California,1
2011,43,Stanislaus,California,1
2011,45,Stanislaus,California,1
2011,46,Tehama,California,1
2011,31,Tulare,California,2
2011,37,Tulare,California,2
2011,38,Tulare,California,1
2011,39,Tulare,California,3
2011,42,Tulare,California,1
2011,45,Tulare,California,1
2011,48,Tulare,California,1
2011,38,Yuba,California,1
2011,52,Yuba,California,2
2012,42,Alameda,California,1
2012,43,Alameda,California,1
2012,33,Butte,California,1
2012,35,Butte,California,3
2012,37,Butte,California,2
2012,40,Butte,California,2
2012,41,Butte,California,2
2012,37,Colusa,California,1
2012,38,Colusa,California,1
2012,41,Colusa,California,1
2012,37,Contra Costa,California,1
2012,38,Contra Costa,California,1
2012,42,Contra Costa,California,1
2012,49,Contra Costa,California,1
2012,29,Fresno,California,1
2012,32,Fresno,California,3
2012,34,Fresno,California,2
2012,35,Fresno,California,1
2012,36,Fresno,California,3
2012,37,Fresno,California,3
2012,38,Fresno,California,1
2012,40,Fresno,California,2
2012,42,Fresno,California,2
2012,43,Fresno,California,4
2012,46,Fresno,California,1
2012,50,Fresno,California,1
2012,37,Glenn,California,2
2012,38,Glenn,California,3
2012,40,Glenn,California,1
2012,43,Glenn,California,1
2012,36,Imperial,California,1
2012,25,Kern,California,1
2012,28,Kern,California,1
2012,31,Kern,California,1
2012,32,Kern,California,1
2012,33,Kern,California,2
2012,34,Kern,California,1
2012,35,Kern,California,2
2012,36,Kern,California,1
2012,37,Kern,California,5
2012,39,Kern,California,5
2012,40,Kern,California,1
2012,41,Kern,California,1
